file,decision,exported,subPredicate,status,reason,atomClasses,atomsRaw,ladderNodes,priors,sampling,worlds,declAtomsMean_uniform,planAtomsMean_uniform,statAtomsMean_uniform,declAtomsMean_prior,planAtomsMean_prior,statAtomsMean_prior,declRefsMean_uniform,planRefsMean_uniform,statRefsMean_uniform,declLazyOnlyMean_uniform,atomWinFrac_uniform,atomTieFrac_uniform,atomLossFrac_uniform,planBeatsStatFrac_uniform,worstDeclAtoms,worstPlanAtoms,worstStatAtoms,worstDeclRefs,worstPlanRefs,cnf_atomClasses,cnf_ladderNodes,cnf_declAtomsMean_uniform,cnf_planAtomsMean_uniform,cnf_statAtomsMean_uniform,anomalies
"jl4/examples/legal/regcf/regcf.l4","`Reg CF commenced`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`the 2017 inflation adjustment`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`the 2021 amendments`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`the 2022 inflation adjustment`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`the rules in force include`",false,true,measured,,1,1,1,0,exhaustive,2,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1,1,1,2,2,1,1,1.0,1.0,1.0,""
"jl4/examples/legal/regcf/regcf.l4","`offering maximum in a 12-month period`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`income or net worth cut point`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`minimum permitted investment`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`maximum amount sold to any one investor in a 12-month period`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`tier 1 ceiling`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`tier 2 ceiling`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`first-time issuer review ceiling`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`holders of record threshold`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`total assets threshold`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`minimum days publicly available before any sale`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`days to file the annual report after fiscal year end`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`business days to file Form C-TR`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`business days to file a progress update`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`the resale restriction in years`",false,false,refused,"Can only visualize, as a ladder diagram, a DECIDE that returns a boolean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jl4/examples/legal/regcf/regcf.l4","`(b)(1) — not organized under State or territorial law`",false,true,measured,,1,1,4,0,exhaustive,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1,4,1.0,1.0,1.0,""
"jl4/examples/legal/regcf/regcf.l4","`(b)(2) — an Exchange Act reporting company`",false,true,measured,,1,1,3,0,exhaustive,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1,3,1.0,1.0,1.0,""
